x1,x2,y
53,40,0
61,52,0
49,44,0
42,51,0
45,39,0
42,48,0
58,42,0
49,48,0
62,53,0
41,54,0
46,45,0
53,58,0
53,48,0
47,41,0
48,56,0
50,43,0
52,39,0
51,49,0
54,54,0
45,55,0
54,60,0
44,50,0
56,52,0
48,62,0
52,55,0
49,60,0
40,49,0
52,42,0
50,60,0
47,42,0
44,49,0
50,48,0
41,58,0
47,57,0
51,56,0
57,55,0
47,40,0
47,54,0
46,52,0
60,55,0
55,56,0
57,42,0
42,44,0
50,45,0
53,58,0
50,48,0
51,46,0
53,41,0
52,40,0
43,59,0
46,53,0
55,60,0
56,51,0
39,52,0
47,42,0
46,39,0
56,42,0
51,60,0
42,49,0
58,58,0
42,58,0
53,41,0
56,60,0
52,49,0
53,54,0
43,59,0
52,49,0
44,40,0
56,60,0
61,54,0
56,60,0
49,61,0
45,54,0
48,58,0
44,60,0
57,41,0
48,44,0
48,41,0
45,40,0
54,59,0
50,41,0
47,48,0
54,41,0
61,45,0
50,60,0
48,48,0
50,42,0
42,47,0
40,54,0
51,47,0
55,51,0
39,45,0
58,59,0
49,39,0
49,53,0
41,52,0
47,46,0
61,51,0
45,42,0
53,41,0
59,66,1
68,63,1
50,73,1
53,26,1
31,43,1
30,42,1
57,34,1
38,33,1
51,29,1
62,54,1
39,33,1
46,36,1
35,56,1
46,26,1
28,44,1
65,61,1
63,60,1
68,38,1
45,36,1
40,65,1
70,45,1
66,42,1
50,69,1
44,70,1
43,62,1
44,71,1
28,60,1
63,63,1
64,33,1
66,57,1
67,60,1
73,43,1
46,68,1
49,68,1
39,63,1
34,67,1
40,67,1
65,36,1
54,66,1
29,43,1
38,60,1
59,73,1
64,46,1
52,26,1
56,72,1
57,39,1
74,46,1
59,32,1
64,38,1
33,42,1
29,62,1
69,42,1
33,59,1
43,32,1
69,58,1
38,45,1
70,64,1
43,39,1
55,70,1
40,62,1
43,38,1
69,35,1
45,71,1
41,32,1
38,30,1
62,67,1
60,41,1
40,58,1
61,44,1
49,28,1
42,60,1
35,32,1
61,29,1
67,36,1
69,45,1
66,50,1
40,34,1
51,67,1
45,63,1
57,30,1
31,58,1
39,68,1
43,72,1
67,33,1
66,49,1
57,30,1
53,33,1
64,36,1
37,39,1
74,53,1
70,51,1
53,64,1
55,64,1
45,69,1
33,56,1
44,38,1
68,36,1
72,45,1
70,42,1
48,35,1
16,35,2
72,38,2
21,33,2
76,57,2
83,66,2
49,86,2
50,19,2
58,14,2
28,22,2
38,16,2
22,47,2
63,16,2
16,49,2
69,19,2
83,36,2
33,77,2
17,39,2
32,76,2
64,26,2
39,80,2
36,84,2
17,38,2
50,75,2
30,81,2
51,19,2
33,26,2
77,55,2
22,39,2
79,30,2
85,38,2
82,54,2
76,39,2
84,46,2
40,82,2
40,19,2
41,77,2
45,78,2
82,54,2
84,58,2
39,81,2
25,67,2
35,71,2
76,40,2
80,57,2
26,35,2
52,22,2
17,39,2
38,79,2
55,20,2
30,26,2
74,43,2
20,70,2
66,72,2
73,78,2
82,65,2
34,77,2
19,57,2
28,29,2
41,78,2
68,22,2
54,20,2
77,33,2
85,40,2
74,78,2
35,74,2
64,25,2
43,75,2
57,78,2
50,16,2
63,17,2
28,71,2
61,17,2
78,58,2
22,61,2
81,50,2
21,32,2
60,75,2
32,82,2
66,80,2
50,15,2
38,20,2
74,77,2
27,70,2
26,22,2
19,33,2
39,77,2
21,53,2
80,41,2
73,75,2
71,27,2
79,47,2
25,24,2
85,57,2
16,56,2
14,55,2
61,18,2
17,38,2
61,19,2
63,27,2
31,18,2
8,30,3
28,13,3
46,9,3
34,93,3
95,60,3
56,4,3
30,13,3
26,8,3
60,4,3
6,71,3
64,6,3
31,95,3
9,25,3
47,98,3
90,62,3
60,90,3
9,50,3
10,63,3
97,53,3
94,57,3
76,22,3
91,40,3
21,80,3
86,19,3
68,13,3
92,52,3
96,60,3
78,91,3
39,97,3
45,10,3
78,16,3
22,87,3
3,38,3
68,12,3
25,11,3
66,15,3
70,16,3
37,14,3
53,94,3
44,7,3
14,69,3
49,95,3
92,40,3
91,34,3
77,19,3
41,89,3
45,8,3
68,10,3
93,61,3
87,43,3
88,30,3
44,92,3
42,98,3
1,48,3
26,18,3
10,50,3
86,36,3
18,25,3
86,24,3
93,53,3
87,30,3
56,98,3
84,74,3
43,88,3
16,21,3
29,15,3
91,72,3
25,22,3
94,44,3
47,93,3
75,17,3
8,64,3
24,9,3
39,2,3
96,62,3
58,95,3
11,46,3
4,34,3
90,77,3
59,95,3
84,81,3
96,39,3
68,11,3
56,98,3
17,87,3
60,96,3
88,79,3
91,56,3
86,66,3
67,84,3
11,53,3
13,75,3
87,62,3
36,7,3
65,86,3
63,7,3
80,86,3
61,13,3
8,36,3
25,18,3
